,datetime,Temperature,Breaks,P_pan,P_viv,P_car,P_des,P_exp,P_imp,P_elec,P_comp,P_pur,P_pila,SOC,pres_buf,pres_comp,pres_pila,P_car_pila,s_elec,s_comp,s_pila,h2_total,h2_flow,h2_elec,h2b_nl,h2t_nl,h2_flow_pila
0,2024-03-27 11:34:27,13.1,OPEN,5060.0,1967.0,1920.0,0.0,240.0,0.0,883.0,0.0,50.0,0,94,28.0,84.5,-1,-1,1,0,0,215981.07759444445,134.348,0.18659444444444448,2614.361627512629,684.7226113914189,0
1,2024-03-27 11:34:32,13.1,,5110.0,1981.0,1920.0,0.0,290.0,0.0,869.0,0.0,50.0,0,94,28.0,84.5,-1,-1,1,0,0,215981.264325,134.446,0.18673055555555554,2614.361627512629,684.7226113914189,0
2,2024-03-27 11:34:37,13.1,,5040.0,2054.0,1921.9,0.0,128.1,0.0,886.0,0.0,50.0,0,94,28.0,84.5,-1,-1,1,0,0,215981.45128888887,134.614,0.1869638888888889,2614.361627512629,684.7226113914189,0
3,2024-03-27 11:34:42,13.1,,5090.0,2046.0,1920.0,0.0,190.0,0.0,883.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215981.63865208332,134.9015,0.18736319444444444,2614.361627512629,685.5329340084502,0
4,2024-03-27 11:34:47,13.1,,4787.6,1992.0,1857.6,0.0,0.0,0.0,888.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215981.8264145833,135.189,0.18776249999999997,2614.361627512629,685.5329340084502,0
5,2024-03-27 11:34:52,13.1,,4732.8,2008.0,397.34123623220046,0,1140.6720924131137,28.34663934017965,892.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215982.0146736111,135.54649999999998,0.18825902777777775,2614.361627512629,685.5329340084502,0
6,2024-03-27 11:34:57,13.1,,4430.0,1978.0,401.0326660897173,0,1182.4794433532497,28.53319577048464,893.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215982.20342916664,135.904,0.18875555555555557,2614.361627512629,685.5329340084502,0
7,2024-03-27 11:35:02,13.1,,4400.0,2021.0,382.0143503230282,0,1039.8723140199522,29.293895172120138,889.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215982.3922972222,135.985,0.18886805555555555,2614.361627512629,685.5329340084502,0
8,2024-03-27 11:35:07,13.1,,4400.0,2017.0,387.109249764823,0,1089.5009905536995,29.36305037046467,892.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215982.58137777774,136.138,0.18908055555555556,2614.361627512629,685.5329340084502,0
9,2024-03-27 11:35:12,13.1,,4400.0,2015.0,371.86815504166395,0,895.6889213617997,27.65563326422898,896.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215982.77061111107,136.248,0.18923333333333334,2614.361627512629,685.5329340084502,0
10,2024-03-27 11:35:17,13.1,,4600.0,2070.0,364.5861093289384,1.2256855731194207,837.3464570941358,27.680087585941642,890.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215982.9605680555,136.769,0.18995694444444444,2614.361627512629,685.5329340084502,0
11,2024-03-27 11:35:22,13.1,,5090.0,2061.0,343.58815095864566,52.921349045872944,645.8221746250068,26.172843476759166,899.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215983.15066388884,136.869,0.19009583333333332,2614.361627512629,685.5329340084502,0
12,2024-03-27 11:35:27,13.1,,4740.0,1991.0,335.37045885640146,69.69537175249866,596.7905315644541,26.547655004395157,899.0,0.0,50.0,0,94,28.0,84.6,-1,-1,1,0,0,215983.3410430555,137.07299999999998,0.19037916666666665,2614.361627512629,685.5329340084502,0
13,2024-03-27 11:35:32,13.1,,4920.0,2078.0,335.37045885640146,69.69537175249866,596.7905315644541,26.547655004395157,892.0,0.0,50.0,0,94,28.1,84.6,-1,-1,1,0,0,215983.5317055555,137.277,0.1906625,2623.6986333251743,685.5329340084502,0
14,2024-03-27 11:35:37,13.1,,5110.0,2058.0,335.37045885640146,69.69537175249866,596.7905315644541,26.547655004395157,902.0,0.0,50.0,0,94,28.1,84.6,-1,-1,1,0,0,215983.72242222217,137.316,0.19071666666666667,2623.6986333251743,685.5329340084502,0
15,2024-03-27 11:35:42,13.1,,5280.0,2067.0,345.55539119386725,39.45149870540192,693.7352726469906,27.891381016899494,894.0,0.0,50.0,0,94,28.1,84.6,-1,-1,1,0,0,215983.91336249994,137.477,0.19094027777777778,2623.6986333251743,685.5329340084502,0
16,2024-03-27 11:35:47,13.1,,5430.0,2064.0,382.67060162639586,0,1061.4832881674665,29.704194576983554,896.0,0.0,50.0,0,94,28.1,84.6,-1,-1,1,0,0,215984.10499999992,137.979,0.19163750000000002,2623.6986333251743,685.5329340084502,0
17,2024-03-27 11:35:52,13.1,,5290.0,2063.0,366.61951180493844,0,851.1192067661615,27.590438164432122,887.0,0.0,50.0,0,94,28.1,84.6,-1,-1,1,0,0,215984.29669305548,138.019,0.19169305555555557,2623.6986333251743,685.5329340084502,0
18,2024-03-27 11:35:57,13.1,,5140.0,2057.0,368.9241225018714,0,918.9685393884338,29.196863680855586,902.0,0.0,50.0,0,94,28.1,84.6,-1,-1,1,0,0,215984.48854999992,138.137,0.19185694444444445,2623.6986333251743,685.5329340084502,0
19,2024-03-27 11:36:02,13.1,,4891.1,487.0,384.08985900244625,0,1077.6007979354508,29.776505924596265,903.0,0.0,50.0,0,94,28.1,84.6,-1,-1,1,0,0,215984.6808152777,138.43099999999998,0.19226527777777777,2623.6986333251743,685.5329340084502,0
